X,Y,objectid,featuretype,description,class,name,operationalstatus,owner,generationtype,primaryfueltype,primarysubfueltype,generationmw,generatornumber,locality,state,spatialconfidence,revised,comment_,ga_guid,x_coordinate,y_coordinate
142.186484578,-38.0064337169999,18,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Macarthur Wind Farm,Operational,AGL Energy Pty Ltd,Wind Turbine,Wind,,420,140,Gerrigerrup,Victoria,5,2020/03/02 00:00:00+00,Wind/ snapped the point to Substation already existing in this place,{ED34D19A-BC04-4FCE-BC16-FE1D28ADB348},142.18648458,-38.00643372
142.667485225,-38.0631560149999,19,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mortlake,Operational,Origin Energy,Open Cycle Gas Turbine,Natural Gas,,566,2,Mortlake,Victoria,5,2016/11/24 00:00:00+00,Gas,{0BD8D6A2-E636-460D-BC9C-27EF2680A2DD},142.66748523,-38.06315601
143.889199877,-37.831686578,20,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mt Mercer Wind Farm,Operational,,Wind Turbine,Wind,,131,,Mount Mercer,Victoria,3,2020/02/25 00:00:00+00,Wind / snapped to the point for substation,{17A37546-87AF-4074-9E0D-5B9FBB31B6CE},143.88919988,-37.83168658
143.603736449,-37.3574489219999,21,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Waubra Wind Farm,Operational,Acciona Energy Australia,Wind Turbine,Wind,,192,128,Waubra,Victoria,2,2016/11/24 00:00:00+00,,{7B32B30B-958A-4A3B-9C4A-69C7720D8B8A},143.60373645,-37.35744892
143.113977402,-37.389775739,22,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Challicum Hills Wind Farm,Operational,Pacific Hydro Pty Ltd,Wind Turbine,Wind,,52.5,35,Ballyrogan,Victoria,5,2020/02/27 00:00:00+00,Substation already exists in this location . Snapped the power station point to it,{11DB390A-E966-4C60-A1BE-7C6A24CEB042},143.1139774,-37.38977574
145.378989371,-36.3217620199999,23,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Shepparton Biogas Generation Plant,Operational,Diamond Energy Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Sewage Methane,1.1,,Shepparton North,Victoria,4,2016/11/24 00:00:00+00,Biomass,{E51DE1F7-8C9A-4E7A-9BFE-D5EAD285854E},145.37898937,-36.32176202
147.520585579,-36.5564163779999,24,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Dartmouth (Mount Beauty Hydro Scheme),Operational,AGL Energy Pty Ltd,Hydroelectric - Gravity,Water,,150,1,Dartmouth,Victoria,4,2016/11/24 00:00:00+00,Hydro,{3098BE82-A5EB-4B0F-8172-7AD8EA6C4459},147.52058558,-36.55641638
147.459383776,-36.534383834,25,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Banimboola,Operational,AGL Energy Pty Ltd,Hydroelectric - Gravity,Water,,12.85,2,Mitta Mitta,Victoria,2,2016/11/24 00:00:00+00,Hydro,{ADD37D77-1818-44A3-A9FE-F738F22C5893},147.45938378,-36.53438383
146.392111793,-36.9129237879999,26,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lake William Hovell,Operational,Pacific Hydro Investments Pty Ltd,Hydroelectric - Gravity,Water,,2,1,Cheshunt South,Victoria,4,2016/11/24 00:00:00+00,Hydro,{F060C77E-9893-418D-93DF-68516A4AD1B7},146.39211179,-36.91292379
145.921458196,-37.2219922359999,27,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Eildon,Operational,AGL Energy Pty Ltd,Hydroelectric - Gravity,Water,,120,4,Eildon,Victoria,5,2016/11/24 00:00:00+00,Hydro,{933C30C7-10D5-4897-A33A-5DE5BFACB1C0},145.9214582,-37.22199224
144.788716964,-37.841566826,28,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Laverton North,Operational,Snowy Hydro Ltd,Open Cycle Gas Turbine,Natural Gas,,312,2,Laverton North,Victoria,5,2016/11/24 00:00:00+00,Gas,{5B439B11-93AE-4405-AAF4-7BBC0F27E39E},144.78871696,-37.84156683
144.894202946,-37.841448833,29,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Newport,Operational,Industry Funds Management,Steam Subcritical,Natural Gas,,500,1,Newport,Victoria,5,2016/11/24 00:00:00+00,Gas,{F1C02044-FED6-45F2-B4BB-7B173AD3756D},144.89420295,-37.84144883
145.118727895,-37.950186849,30,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Claytons,Operational,Energy Developments LFG (Victoria) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,11,11,Clayton South,Victoria,5,2016/11/24 00:00:00+00,Landfill Gas,{2B1E22EC-65A7-473E-8A0C-54FB61FDED66},145.1187279,-37.95018685
145.139640888,-37.973283851,31,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Springvale,Operational,Energy Developments LFG (Victoria) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,4.2,6,Springvale South,Victoria,4,2016/11/24 00:00:00+00,Landfill Gas,{E915C756-FCC0-408E-A056-3E6DB93A9892},145.13964089,-37.97328385
145.269955534,-38.0534396199999,32,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hallam Road,Operational,LMS Energy Generation Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,8.984,2,Hampton Park,Victoria,4,2016/11/24 00:00:00+00,Landfill Gas,{7E93241B-7579-4CA9-BB4F-3D89FC30BAD1},145.26995553,-38.05343962
146.342788655,-38.1770019379999,33,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Yallourn,Operational,TRUenergy,Steam Subcritical,Coal,Brown Coal,1480,4,Yallourn,Victoria,5,2016/11/24 00:00:00+00,Coal,{C2D276A6-BB08-4769-98A2-E304D2275F82},146.34278866,-38.17700194
146.424928629,-38.2746129449999,34,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Jeeralang B,Operational,Industry Funds Management Nominees Ltd,Open Cycle Gas Turbine,Natural Gas,,228,3,Hazelwood North,Victoria,5,2016/11/24 00:00:00+00,Gas,{2EBB41F5-D523-4C82-AC71-4EE247572FBF},146.42492863,-38.27461294
146.426301629,-38.2753119449999,35,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Jeeralang A,Operational,Industry Funds Management Nominees Ltd Ecogen Holdings,Open Cycle Gas Turbine,Natural Gas,,204,4,Hazelwood North,Victoria,5,2016/11/24 00:00:00+00,Gas,{E576FF75-A045-4636-9539-926BC880783F},146.42630163,-38.27531194
146.574574605,-38.2535869559999,36,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Loy Yang A,Operational,GEAC Great Energy Alliance Corporation,Steam Subcritical,Coal,Brown Coal,2180,4,Loy Yang,Victoria,5,2016/11/24 00:00:00+00,Coal,{934C590F-C9A7-4CB3-A1E4-2D7ED5EA5AAC},146.57457461,-38.25358696
146.586375603,-38.256433957,37,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Loy Yang B,Operational,IPM Australia Limited,Steam Subcritical,Coal,Brown Coal,1000,2,Loy Yang,Victoria,5,2016/11/24 00:00:00+00,Coal,{C8057724-A1CD-4A86-B7F7-7E307F517C59},146.5863756,-38.25643396
146.589171603,-38.253608957,38,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Valley Power (Peaking Facility),Operational,Snowy Hydro Ltd,Open Cycle Gas Turbine,Natural Gas,,300,6,Loy Yang,Victoria,5,2016/11/24 00:00:00+00,Gas,{76353ED3-264D-4D85-AFD1-506E2BD8AE56},146.5891716,-38.25360896
147.56393499,-37.8428465279999,39,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bairnsdale,Operational,Alinta DEBO,Open Cycle Gas Turbine,Natural Gas,,94,2,Hillside (East Gippsland),Victoria,5,2016/11/24 00:00:00+00,Gas,{243EA1F0-C233-4CDB-A916-A95CB45BCC92},147.56393499,-37.84284653
145.999467492,-36.009396721,40,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Yarrawonga,Operational,AGL Energy Pty Ltd,Hydroelectric - Gravity,Water,,9,2,Yarrawonga,Victoria,5,2016/11/24 00:00:00+00,Hydro,{03D56F80-406C-49C8-915C-8D47748E93EC},145.99946749,-36.00939672
147.032628052,-36.106605515,41,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hume,Operational,Eraring Energy,Hydroelectric - Gravity,Water,,70,2,Lake Hume Village,New South Wales,5,2016/11/24 00:00:00+00,Hydro,{E1689822-68E8-49B3-80C8-5B5934103565},147.03262805,-36.10660552
140.40331803,-37.760239928,42,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Canunda Wind Farm,Operational,International Power - GDF Suez Australia,Wind Turbine,Wind,,46,23,German Flat,South Australia,2,2016/11/24 00:00:00+00,Wind,{E5EFBB6E-DB04-48B2-9B03-F27084FC7CBF},140.40331803,-37.76023993
140.415564286,-37.664537186,43,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Snuggery,Operational,International Power - GDF Suez Australia,Open Cycle Gas Turbine,Natural Gas,,63,3,Millicent,South Australia,5,2016/11/24 00:00:00+00,Diesel,{4D60283D-8FCE-4428-B6BC-241D798FAA69},140.41556429,-37.66453719
138.581765251,-34.8474494669999,44,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Dry Creek,Operational,Synergen Power,Open Cycle Gas Turbine,Natural Gas,,156,3,Dry Creek,South Australia,5,2016/11/24 00:00:00+00,Gas,{A1A871BE-57D4-45B5-A9CE-C566BE2CC399},138.58176525,-34.84744947
138.521329264,-34.806830465,45,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Torrens Island A,Operational,AGL Energy Pty Ltd,Steam Subcritical,Natural Gas,,480,4,Torrens Island,South Australia,5,2016/11/24 00:00:00+00,Gas,{90C2AA57-4D06-4797-956E-286933D229BE},138.52132926,-34.80683047
138.522627264,-34.805157465,46,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Torrens Island B,Operational,AGL Energy Pty Ltd,Steam Subcritical,Natural Gas,,800,4,Torrens Island,South Australia,5,2016/11/24 00:00:00+00,Gas,{A9E6CAD7-B8B3-4B83-8AAB-277DF62A901F},138.52262726,-34.80515747
138.507891266,-34.798007464,47,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Osborne,Operational,Origin Energy,Combined Cycle Gas Turbine,Natural Gas,,180,2,Osborne,South Australia,4,2016/11/24 00:00:00+00,Gas,{D88DA980-AB8F-4168-BCD1-FD989686EE49},138.50789127,-34.79800746
138.505332269,-34.764958464,48,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Pelican Point,Operational,International Power - GDF Suez Australia,Combined Cycle Gas Turbine,Natural Gas,,478,3,Outer Harbor,South Australia,5,2016/11/24 00:00:00+00,Gas,{EE80AB12-0A84-46D0-80F4-C1F909D83076},138.50533227,-34.76495846
138.522359265,-34.779270465,49,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Quarantine,Operational,Origin Energy,Open Cycle Gas Turbine,Natural Gas,,224,5,Torrens Island,South Australia,3,2016/11/24 00:00:00+00,Gas,{897E999B-F300-4160-A58C-9254CA18F878},138.52235927,-34.77927047
139.02457738,-34.503429077,50,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Angaston,Operational,Infratil Energy Australia Pty Ltd,Compression Reciprocating Engine,Distillate,,50,30,Angaston,South Australia,4,2016/11/24 00:00:00+00,Diesel,{7652E710-378F-431A-AF32-676143B70F06},139.02457738,-34.50342908
138.910938751,-34.001011266,51,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Waterloo Wind Farm,Operational,TRUenergy,Wind Turbine,Wind,,111,37,Tothill Belt,South Australia,3,2016/11/24 00:00:00+00,Wind,{5F920DF0-5707-4026-BA4D-0F213B871CC9},138.91093875,-34.00101127
137.705785141,-35.1103368829999,52,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wattle Point Wind Farm,Operational,ANZ Energy Infrastructure Trust,Wind Turbine,Wind,,90.75,55,Edithburgh,South Australia,5,2016/11/24 00:00:00+00,Wind,{4BB3A20C-7A3D-4D34-B2A2-0347529FE778},137.70578514,-35.11033688
138.738307285,-33.903086468,53,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mintaro,Operational,Synergen Power,Open Cycle Gas Turbine,Natural Gas,,90,1,Stanley,South Australia,5,2016/11/24 00:00:00+00,Gas,{8BA4BFBC-B6C9-4754-AF64-C6A9355EFF99},138.73830729,-33.90308647
138.732338977,-33.3397200429999,54,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hallett 1 Brown Hill  Wind Farm,Operational,AGL Energy Pty Ltd,Wind Turbine,Wind,,94.5,45,Canowie,South Australia,2,2016/11/24 00:00:00+00,Wind,{D68EA842-70BD-49D7-811A-F85A899C8A7B},138.73233898,-33.33972004
138.751666316,-33.348638465,55,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Hallett,Operational,TRUenergy,Open Cycle Gas Turbine,Natural Gas,Light Fuel Oil Diesel,228.3,12,Canowie,South Australia,5,2016/11/24 00:00:00+00,Gas / Diesel,{267BB1C9-1764-4AF9-ADD1-18D90718895A},138.75166632,-33.34863847
138.855167053,-33.522588905,56,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hallett 2 Hallet Hill  Wind Farm,Operational,ANZ Energy Infrastructure Trust,Wind Turbine,Wind,,71.4,34,North Booborowie,South Australia,2,2016/11/24 00:00:00+00,Wind,{7019F9C1-D172-45C8-A44A-B7746FA2425E},138.85516705,-33.52258891
135.80443153,-34.700320808,57,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Port Lincoln,Operational,Synergen Power,Open Cycle Gas Turbine,Distillate,,73.5,3,Hawson,South Australia,4,2016/11/24 00:00:00+00,Gas,{9362840D-8500-4682-9F4F-1DC894D96F3C},135.80443153,-34.70032081
135.585179732,-34.850847362,58,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Cathedral Rocks Wind Farm,Operational,TRUenergy & Acciona Energy,Wind Turbine,Wind,,66,33,Sleaford,South Australia,2,2016/11/24 00:00:00+00,Wind,{C28F63E6-F03C-4895-96EF-6E8B6C065BD9},135.58517973,-34.85084736
130.866595708,-12.554979121,59,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Channel Island,Operational,NT Government,Gas Turbine,Natural Gas,Distillate,310,9,Channel Island,Northern Territory,5,2016/11/28 00:00:00+00,,{EC4FFB3A-9231-469E-A24A-B36C7D316A8B},130.86659571,-12.55497912
130.95023226,-12.5771183439999,60,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Weddell,Operational,NT Power and Water,Open Cycle Gas Turbine,Natural Gas,,86,2,Wickham,Northern Territory,4,2016/11/24 00:00:00+00,Gas,{FDF9A7C6-7CF6-483F-A414-E541F17462BC},130.95023226,-12.57711834
128.738333818,-16.120118142,61,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Ord River,Operational,Pacific Hydro Pty Ltd,Hydroelectric - Gravity,Water,,30,4,Lake Argyle,Western Australia,4,2016/11/24 00:00:00+00,Hydro,{AEF83005-E0BD-459B-BDA5-A8A35CA0E3F5},128.73833382,-16.12011814
116.307439052,-33.446343993,62,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Muja D,Operational,Verve Energy,Steam Subcritical,Coal,Black Coal,454,2,Muja,Western Australia,4,2016/11/24 00:00:00+00,Coal,{2B27A98D-C4A9-4A58-BD5C-3A89665BB1A1},116.30743905,-33.44634399
115.780550811,-33.1632366159999,63,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kemerton,Operational,Transfield Services Infrastructure Fund,Open Cycle Gas Turbine,Natural Gas,,260.9,2,Wellesley,Western Australia,4,2016/11/24 00:00:00+00,Gas,{CF1E3F93-63A3-4FBD-BE7A-0025C4A3E942},115.78055081,-33.16323662
115.820413681,-31.5567846069999,64,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Pinjar,Operational,Verve Energy,Gas Turbine,Natural Gas,Distillate,576,9,Pinjar,Western Australia,4,2016/11/24 00:00:00+00,Gas,{213B9162-9FB4-4E8B-B419-728374CE0B91},115.82041368,-31.55678461
115.376764644,-30.488177623,65,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Emu Downs Wind Farm,Operational,Griffin Energy & Stanwell Corporation Ltd,Wind Turbine,Wind,,79.2,48,Badgingarra,Western Australia,2,2016/11/24 00:00:00+00,Wind,{C9617CF4-F347-450D-B01B-B073CCF2EC8C},115.37676464,-30.48817762
116.261175752,-33.342167591,66,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Collie A,Operational,Verve Energy,Steam Subcritical,Coal,Black Coal,340,1,Palmer,Western Australia,5,2016/11/24 00:00:00+00,Coal,{30B7AE2F-3624-4E52-9D4D-F584D557073B},116.26117575,-33.34216759
116.229010756,-33.330986593,67,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Collie (Bluewaters),Operational,Griffin Energy,Steam Subcritical,Coal,Black Coal,416,2,Palmer,Western Australia,5,2016/11/24 00:00:00+00,Coal,{7E272D7E-42B1-4A69-800C-5820368E6C07},116.22901076,-33.33098659
115.918657771,-32.916003608,68,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Wagerup,Operational,Alinta Energy,Gas Turbine,Natural Gas,Distillate,380,4,Wagerup,Western Australia,5,2016/11/24 00:00:00+00,Gas,{408B1EDA-811E-4E19-8197-A313EA5F58B8},115.91865777,-32.91600361
