"2L","GW041049","NSW - Water NSW","-34.52220864","150.59328572"
"2M","GW041050","NSW - Water NSW","-34.5202848","150.56166729"
"2M1d","GW075100","NSW - Water NSW","-34.52355037","150.59023753"
"2M1p","GW075101","NSW - Water NSW","-34.5233547","150.59082918"
"2M1s","GW075102","NSW - Water NSW","-34.52362245","150.59023545"
"2M3p","GW075106","NSW - Water NSW","-34.52365383","150.58844601"
"2M6p","GW075171","NSW - Water NSW","-34.52284173","150.59494383"
"2N","GW041051","NSW - Water NSW","-34.55508871","150.57968893"
"3 MILE CK WANGARATTA","403249","VIC - Department of Energy, Environment and Climate Action","-36.33656586","146.2998983"
"3 Metre Drain","609063","WA - Department of Water and Environmental Regulation","-33.219120339","117.807367975"
"3 Moon_C Cania Gorge","136107A","QLD - Department of Regional Development, Manufacturing and Water","-24.72364408","151.00793642"
"31 Mile Rd","616026","WA - Department of Water and Environmental Regulation","-32.227743158","116.159543491"
"35 Km gauge - Ballan Channel","ME610B","VIC - Barwon Region Water Corporation (Barwon Water)","-37.78346967","144.19799467"
"37/04 (Site Mm1)","70912271","WA - Department of Water and Environmental Regulation","-20.523477209","118.158965516"
"3A","GW040972","NSW - Water NSW","-34.52881497","150.62194063"
"3C","GW041057","NSW - Water NSW","-34.52496368","150.60911294"
"3C1p","GW075181","NSW - Water NSW","-34.52476147","150.60873094"
"3G","GW041061","NSW - Water NSW","-34.53125007","150.63335532"
"3H","GW041062","NSW - Water NSW","-34.53165813","150.64905999"
"3I","GW041063","NSW - Water NSW","-34.53651349","150.6340201"
"3J1p","GW075182","NSW - Water NSW","-34.53785477","150.63233599"
"3V","GW273004","NSW - Water NSW","-34.52401137","150.65318762"
"3W","GW273005","NSW - Water NSW","-34.53193398","150.65548059"
"3Y","GW273003","NSW - Water NSW","-34.52506391","150.64684136"
"3Z","GW273007","NSW - Water NSW","-34.52982913","150.63907534"
"40A","D21","NSW - Hunter Water","-32.79766496","151.743779"
"47 Mile Peg","510013","WA - Department of Water and Environmental Regulation","-32.262927306","116.486491333"
"4A","GW040983","NSW - Water NSW","-34.47407273","150.52815446"
"4L Sub Catchment","614057","WA - Department of Water and Environmental Regulation","-32.847322752","116.19211534"
"4L Sub Catchment","509225","WA - Department of Water and Environmental Regulation","-32.850454752","116.188239847"
"5 Mile Hut","912109A","QLD - Department of Regional Development, Manufacturing and Water","-17.79961111","139.35955556"
"56A","505031","WA - Department of Water and Environmental Regulation","-21.788534077","116.740156377"
"59 Mile Peg","505057","WA - Department of Water and Environmental Regulation","-21.338646431","117.081346541"
"5B","GW040986","NSW - Water NSW","-34.51252873","150.54680081"
"5M1s","GW075110","NSW - Water NSW","-34.51120968","150.54818558"
"6 Dis.Box Sp06Db","614053","WA - Department of Water and Environmental Regulation","-32.688141571","115.997174429"
"6.4","509401","WA - Department of Water and Environmental Regulation","-32.726556935","116.18900195"
"7/04 (Site My 3/04)","71012148","WA - Department of Water and Environmental Regulation","-20.30093589","119.242358659"
"7A","70830016","WA - Department of Water and Environmental Regulation","-21.888165872","117.631220565"
"7M Diversion Channel","143223A","QLD - Department of Regional Development, Manufacturing and Water","-27.44527778","152.43222222"
"8 MILE CK @ MCCRABS","410178","NSW - Water NSW","-35.2219","144.7999"
"8 MILE CK @ W/NELLA","410177","NSW - Water NSW","-35.2903","144.8986"
"8A","70830110","WA - Department of Water and Environmental Regulation","-21.157420062","116.085355099"
"8Mil","600162","NSW - Snowy Hydro Limited","-35.88833333","148.37166667"
"9 MILE C U/S GVW DAM","405327","VIC - Department of Energy, Environment and Climate Action","-36.87688345","145.4746745"
"9 MILE CK @ COADS RD","407285","VIC - Department of Energy, Environment and Climate Action","-35.89600307","143.9956207"
"9 MILE SERP.OFFTAKE","407289","VIC - Department of Energy, Environment and Climate Action","-36.09771026","143.9242234"
"9A","GW040992","NSW - Water NSW","-34.5311601","150.63899745"
"9A","70730110","WA - Department of Water and Environmental Regulation","-21.505581772","115.8476442"
"9B","GW040993","NSW - Water NSW","-34.53052077","150.64365612"
"9M1d","GW075112","NSW - Water NSW","-34.53095565","150.64101308"
"9M1p","GW075113","NSW - Water NSW","-34.5308705","150.64141201"
"9M1s","GW075114","NSW - Water NSW","-34.53096566","150.6409714"
"9M2s","GW075115","NSW - Water NSW","-34.53054059","150.64519699"
"9M3s","GW075116","NSW - Water NSW","-34.53063346","150.64426298"
"9M4p","GW075210","NSW - Water NSW","-34.53107962","150.64982356"
"9M5p","GW075211","NSW - Water NSW","-34.53096751","150.64915131"
"9M6p","GW075212","NSW - Water NSW","-34.53038358","150.64257391"
"9M7p","GW075213","NSW - Water NSW","-34.53114186","150.64248499"
"9M8p","GW075214","NSW - Water NSW","-34.53055699","150.63341198"
"9M9p","GW075215","NSW - Water NSW","-34.53152336","150.63517553"
"A18","70118118","WA - Department of Water and Environmental Regulation","-29.117387059","115.002822319"
"A7","70118122","WA - Department of Water and Environmental Regulation","-29.167300135","115.047487479"
"ABERCROMBIE @ ABER#2","41200209","NSW - Water NSW","-33.956499","149.315944"
"ABERCROMBIE @ ABERCR","412028","NSW - Water NSW","-33.9547","149.3251"
"ABERCROMBIE HADLEY 2","412066","NSW - Water NSW","-34.113897","149.596721"
"ABERFELDY @BEARDMORE","225213","VIC - Department of Energy, Environment and Climate Action","-37.85387","146.43303"
"ABERFELDY BEARDMORE","225213A","VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water)","-37.85387","146.43303"
"ABERFELDY BEARDMORES","225213A","VIC - Melbourne Water Corporation (Melbourne Water)","-37.8552","146.433"
"ABERFELDY TOWN RG","225812A","VIC - Melbourne Water Corporation (Melbourne Water)","-37.6967","146.357"
"ABERFELDY US LILY CK","225100A","VIC - Melbourne Water Corporation (Melbourne Water)","-37.7162","146.392"
"ABERFOYLE@ ABERFOYLE","204030","NSW - Water NSW","-30.258693121","152.009440106"
"ABQ2 MT. COOT-THA","IVR512","QLD - Brisbane City Council","-27.464306316","152.947783939"
"AC 10B","70118242","WA - Department of Water and Environmental Regulation","-28.95633215","115.205571923"
"AC 11B","70118244","WA - Department of Water and Environmental Regulation","-28.914327831","115.209366223"
"AC 12A","70118245","WA - Department of Water and Environmental Regulation","-28.932562361","115.265263857"
"AC 13A","70118247","WA - Department of Water and Environmental Regulation","-28.926218361","115.307780909"
"AC 14A","70118249","WA - Department of Water and Environmental Regulation","-28.848554001","115.182352806"
"AC 15A","70118251","WA - Department of Water and Environmental Regulation","-28.807300326","115.250236635"
"AC 1A","70118223","WA - Department of Water and Environmental Regulation","-28.940217765","114.985029759"
"AC 1B","70118224","WA - Department of Water and Environmental Regulation","-28.940251022","114.98508143"
"AC 2A","70118225","WA - Department of Water and Environmental Regulation","-28.970536787","115.029029369"
"AC 2B","70118226","WA - Department of Water and Environmental Regulation","-28.970584732","115.029037694"
"AC 3A","70118227","WA - Department of Water and Environmental Regulation","-29.016969581","115.095509011"
"AC 3B","70118228","WA - Department of Water and Environmental Regulation","-29.017006188","115.095545295"
"AC 4A","70118229","WA - Department of Water and Environmental Regulation","-29.051161144","115.168893504"
"AC 4B","70118230","WA - Department of Water and Environmental Regulation","-29.051244168","115.168894091"
"AC 5A","70118231","WA - Department of Water and Environmental Regulation","-29.080968562","115.265036335"
"AC 5B","70118232","WA - Department of Water and Environmental Regulation","-29.081044145","115.26501966"
"AC 6A","70118233","WA - Department of Water and Environmental Regulation","-29.000470081","115.18166766"
"AC 6B","70118234","WA - Department of Water and Environmental Regulation","-29.000546804","115.181669395"
"AC 7A","70118235","WA - Department of Water and Environmental Regulation","-29.000045001","115.265052372"
"AC 7B","70118236","WA - Department of Water and Environmental Regulation","-28.999990804","115.265048146"
"AC 8A","70118237","WA - Department of Water and Environmental Regulation","-29.031913737","115.339768473"
"AC 8B","70118238","WA - Department of Water and Environmental Regulation","-29.031911093","115.339846551"
"AC 9A","70118239","WA - Department of Water and Environmental Regulation","-28.90682636","115.081351204"
